ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04933	AGE-RAGE signaling pathway in diabetic complications	9/34	100/8146	1.78796235953868e-10	3.37924885952811e-08	1.88206564161966e-08	MMP2/COL3A1/MAPK1/COL1A1/SELE/THBD/MAPK14/F3/VEGFA	9
hsa05418	Fluid shear stress and atherosclerosis	9/34	139/8146	3.4537433201927e-09	3.2637874375821e-07	1.81775964220669e-07	MMP2/HMOX1/PLAT/SELE/THBD/MAPK14/CHUK/VEGFA/MMP9	9
hsa05219	Bladder cancer	6/34	41/8146	1.34618126085951e-08	8.4809419434149e-07	4.72344302055968e-07	MMP2/MAPK1/VEGFA/MYC/MMP1/MMP9	6
hsa04926	Relaxin signaling pathway	8/34	129/8146	4.08711974613418e-08	1.9311640800484e-06	1.07555782793005e-06	MMP2/COL3A1/MAPK1/COL1A1/MAPK14/VEGFA/MMP1/MMP9	8
hsa05417	Lipid and atherosclerosis	9/34	215/8146	1.55446165098243e-07	5.8758650407136e-06	3.27255084417354e-06	MAPK1/HSPA5/BCL2L1/PPARG/SELE/MAPK14/CHUK/MMP1/MMP9	9
hsa05202	Transcriptional misregulation in cancer	8/34	193/8146	9.1945006644158e-07	2.89626770929098e-05	1.61307029200277e-05	PLAT/BCL2L1/PPARG/RUNX2/MPO/IGFBP3/MYC/MMP9	8
hsa04657	IL-17 signaling pathway	6/34	94/8146	2.08367633806782e-06	5.62592611278311e-05	3.13334787679371e-05	MAPK1/CXCL10/MAPK14/CHUK/MMP1/MMP9	6
hsa04668	TNF signaling pathway	6/34	112/8146	5.80424411436559e-06	0.000137125267201887	7.63716330837577e-05	MAPK1/SELE/CXCL10/MAPK14/CHUK/MMP9	6
hsa05205	Proteoglycans in cancer	7/34	205/8146	1.74219920629477e-05	0.000365861833321901	0.000203765989040324	MMP2/MAPK1/COL1A1/MAPK14/VEGFA/MYC/MMP9	7
hsa05215	Prostate cancer	5/34	97/8146	4.56828162169009e-05	0.000821459174778472	0.000457509983168183	MAPK1/PLAT/CDK2/CHUK/MMP9	5
hsa05161	Hepatitis B	6/34	162/8146	4.78097932410751e-05	0.000821459174778472	0.000457509983168183	MAPK1/CDK2/MAPK14/CHUK/MYC/MMP9	6
hsa04620	Toll-like receptor signaling pathway	5/34	104/8146	6.38433301855306e-05	0.00100553245042211	0.000560029212153777	MAPK1/CXCL11/CXCL10/MAPK14/CHUK	5
hsa05145	Toxoplasmosis	5/34	112/8146	9.09413050743711e-05	0.00132142776571058	0.00073596645263747	ALOX5/MAPK1/BCL2L1/MAPK14/CHUK	5
hsa04370	VEGF signaling pathway	4/34	59/8146	9.78835382007835e-05	0.00132142776571058	0.00073596645263747	MAPK1/MAPK14/PLA2G4A/VEGFA	4
hsa04611	Platelet activation	5/34	124/8146	0.00014726835008993	0.00179091641973116	0.000997447184478508	COL3A1/MAPK1/COL1A1/MAPK14/PLA2G4A	5
hsa05221	Acute myeloid leukemia	4/34	67/8146	0.000161004172202792	0.00179091641973116	0.000997447184478508	MAPK1/MPO/CHUK/MYC	4
hsa05415	Diabetic cardiomyopathy	6/34	203/8146	0.000167006116459566	0.00179091641973116	0.000997447184478508	MMP2/GSR/COL3A1/COL1A1/MAPK14/MMP9	6
hsa04664	Fc epsilon RI signaling pathway	4/34	68/8146	0.000170563468545825	0.00179091641973116	0.000997447184478508	ALOX5/MAPK1/MAPK14/PLA2G4A	4
hsa04068	FoxO signaling pathway	5/34	131/8146	0.000190642333220819	0.00189638952519657	0.00105619021174969	MAPK1/CDK2/MAPK14/CAT/CHUK	5
hsa05212	Pancreatic cancer	4/34	76/8146	0.000262443241355773	0.00236198917220196	0.00131550496920187	MAPK1/BCL2L1/CHUK/VEGFA	4
hsa05220	Chronic myeloid leukemia	4/34	76/8146	0.000262443241355773	0.00236198917220196	0.00131550496920187	MAPK1/BCL2L1/CHUK/MYC	4
hsa05208	Chemical carcinogenesis - reactive oxygen species	6/34	223/8146	0.000278388310094533	0.00239160866399395	0.0013320014837059	HMOX1/MAPK1/MAPK14/CAT/CHUK/VEGFA	6
hsa04218	Cellular senescence	5/34	156/8146	0.000429110904580987	0.00348002435376579	0.00193819234406338	MAPK1/CDK2/MAPK14/IGFBP3/MYC	5
hsa05160	Hepatitis C	5/34	157/8146	0.00044190785444645	0.00348002435376579	0.00193819234406338	MAPK1/CDK2/CXCL10/CHUK/MYC	5
hsa05216	Thyroid cancer	3/34	37/8146	0.000468528843553912	0.00354207805726758	0.00197275302549016	MAPK1/PPARG/MYC	3
hsa04151	PI3K-Akt signaling pathway	7/34	354/8146	0.000536752970147708	0.00381676187741056	0.00212573760925122	MAPK1/COL1A1/BCL2L1/CDK2/CHUK/VEGFA/MYC	7
hsa05222	Small cell lung cancer	4/34	92/8146	0.000545251696772937	0.00381676187741056	0.00212573760925122	BCL2L1/CDK2/CHUK/MYC	4
hsa04912	GnRH signaling pathway	4/34	93/8146	0.000568081821651422	0.0038345522961471	0.00213564594605798	MMP2/MAPK1/MAPK14/PLA2G4A	4
